"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jan 31 21:51:19 GMT+07:00 2025","Fri Jan 31 21:51:19 GMT+07:00 2025","33","Gradle suite","Gradle test","autotests.tests.duckController.DuckUpdateTest","autotests.tests.duckController.DuckUpdateTest","successfulUpdateColorAndSound","Проверка обновления цвета и звука утки",""
"broken","Fri Jan 31 21:51:19 GMT+07:00 2025","Fri Jan 31 21:51:19 GMT+07:00 2025","40","Gradle suite","Gradle test","autotests.tests.duckActionController.DuckFlyTest","autotests.tests.duckActionController.DuckFlyTest","successfulFlyWithUndefinedWingsState","Проверка полета утки с состоянием крыльев UNDEFINED",""
"passed","Fri Jan 31 21:51:19 GMT+07:00 2025","Fri Jan 31 21:51:19 GMT+07:00 2025","112","Gradle suite","Gradle test","autotests.tests.duckController.DuckCreateTest","autotests.tests.duckController.DuckCreateTest","createDuckWithMaterialRubber","Проверка создания утки с материалом rubber",""
"passed","Fri Jan 31 21:51:19 GMT+07:00 2025","Fri Jan 31 21:51:19 GMT+07:00 2025","74","Gradle suite","Gradle test","autotests.tests.duckController.DuckDeleteTest","autotests.tests.duckController.DuckDeleteTest","successfulDeleteDuck","Проверка удаления утки",""
"broken","Fri Jan 31 21:51:18 GMT+07:00 2025","Fri Jan 31 21:51:19 GMT+07:00 2025","629","Gradle suite","Gradle test","autotests.tests.duckActionController.DuckQuackTest","autotests.tests.duckActionController.DuckQuackTest","successfulQuackWithEvenId","Проверка того, что утки с четным id издают звуки",""
"broken","Fri Jan 31 21:51:19 GMT+07:00 2025","Fri Jan 31 21:51:19 GMT+07:00 2025","39","Gradle suite","Gradle test","autotests.tests.duckController.DuckUpdateTest","autotests.tests.duckController.DuckUpdateTest","successfulUpdateColorAndHeight","Проверка обновления цвета и высоты утки",""
"broken","Fri Jan 31 21:51:18 GMT+07:00 2025","Fri Jan 31 21:51:19 GMT+07:00 2025","431","Gradle suite","Gradle test","autotests.tests.duckActionController.DuckPropertiesTest","autotests.tests.duckActionController.DuckPropertiesTest","successfulPropertiesEvenId","Проверка того, что выводятся свойства уточки с четным ID",""
"broken","Fri Jan 31 21:51:19 GMT+07:00 2025","Fri Jan 31 21:51:19 GMT+07:00 2025","165","Gradle suite","Gradle test","autotests.tests.duckActionController.DuckPropertiesTest","autotests.tests.duckActionController.DuckPropertiesTest","successfulPropertiesOddId","Проверка того, что выводятся свойства уточки с нечетным id",""
"passed","Fri Jan 31 21:51:19 GMT+07:00 2025","Fri Jan 31 21:51:19 GMT+07:00 2025","43","Gradle suite","Gradle test","autotests.tests.duckActionController.DuckSwimTest","autotests.tests.duckActionController.DuckSwimTest","swimWithInvalidId","Проверка, плавает ли уточка с несуществующим id",""
"broken","Fri Jan 31 21:51:19 GMT+07:00 2025","Fri Jan 31 21:51:19 GMT+07:00 2025","164","Gradle suite","Gradle test","autotests.tests.duckActionController.DuckFlyTest","autotests.tests.duckActionController.DuckFlyTest","successfulFlyWithFixedWingsState","Проверка полета утки с состоянием крыльев FIXED",""
"broken","Fri Jan 31 21:51:18 GMT+07:00 2025","Fri Jan 31 21:51:19 GMT+07:00 2025","431","Gradle suite","Gradle test","autotests.tests.duckActionController.DuckFlyTest","autotests.tests.duckActionController.DuckFlyTest","successfulFlyWithActiveWingsState","Проверка полета утки с состоянием крыльев ACTIVE",""
"broken","Fri Jan 31 21:51:19 GMT+07:00 2025","Fri Jan 31 21:51:19 GMT+07:00 2025","42","Gradle suite","Gradle test","autotests.tests.duckActionController.DuckSwimTest","autotests.tests.duckActionController.DuckSwimTest","successfulSwim","Проверка того, что уточка c корректным id поплыла",""
"passed","Fri Jan 31 21:51:19 GMT+07:00 2025","Fri Jan 31 21:51:19 GMT+07:00 2025","22","Gradle suite","Gradle test","autotests.tests.duckController.DuckCreateTest","autotests.tests.duckController.DuckCreateTest","createDuckWithMaterialWood","Проверка создания утки с материалом wood",""
"broken","Fri Jan 31 21:51:19 GMT+07:00 2025","Fri Jan 31 21:51:19 GMT+07:00 2025","44","Gradle suite","Gradle test","autotests.tests.duckActionController.DuckQuackTest","autotests.tests.duckActionController.DuckQuackTest","successfulQuackWithOddId","Проверка того, что утки с нечетным id издают звуки",""
